50;26,6;95
100;21,4;95
200;17,4;91
500;9,5;91
1000;3,3;88
2,00E+03;-2,8;86
5,00E+03;-11,3;84
1,00E+04;-18,1;82
3,00E+04;-26,5;84
6,00E+04;-33,1;81
1,00E+05;-37,2;81
3,50E+05;-50;72
