Freq.	V(Vo)/V(Vi)
1.47570653327588e+002	(-2.02078447930781e+001dB,-9.00006742953752e+001°)
1.47910838816819e+002	(-2.01878447478606e+001dB,-9.00006758497867e+001°)
1.48251808514594e+002	(-2.01678447024344e+001dB,-9.00006774077814e+001°)
1.48593564228699e+002	(-2.01478446567985e+001dB,-9.00006789693677e+001°)
1.48936107771090e+002	(-2.01278446109520e+001dB,-9.00006805345539e+001°)
1.49279440957898e+002	(-2.01078445648938e+001dB,-9.00006821033481e+001°)
1.49623565609442e+002	(-2.00878445186231e+001dB,-9.00006836757588e+001°)
1.49968483550236e+002	(-2.00678444721388e+001dB,-9.00006852517943e+001°)
1.50314196609001e+002	(-2.00478444254399e+001dB,-9.00006868314629e+001°)
1.50660706618673e+002	(-2.00278443785254e+001dB,-9.00006884147730e+001°)
1.51008015416413e+002	(-2.00078443313944e+001dB,-9.00006900017331e+001°)
1.51356124843619e+002	(-1.99878442840459e+001dB,-9.00006915923514e+001°)
1.51705036745932e+002	(-1.99678442364788e+001dB,-9.00006931866365e+001°)
1.52054752973248e+002	(-1.99478441886922e+001dB,-9.00006947845969e+001°)
1.52405275379728e+002	(-1.99278441406849e+001dB,-9.00006963862409e+001°)
1.52756605823806e+002	(-1.99078440924561e+001dB,-9.00006979915770e+001°)
1.53108746168202e+002	(-1.98878440440047e+001dB,-9.00006996006139e+001°)
1.53461698279928e+002	(-1.98678439953296e+001dB,-9.00007012133600e+001°)
1.53815464030302e+002	(-1.98478439464299e+001dB,-9.00007028298238e+001°)
1.54170045294954e+002	(-1.98278438973044e+001dB,-9.00007044500140e+001°)
1.54525443953840e+002	(-1.98078438479522e+001dB,-9.00007060739391e+001°)
1.54881661891247e+002	(-1.97878437983722e+001dB,-9.00007077016077e+001°)
1.55238700995807e+002	(-1.97678437485634e+001dB,-9.00007093330285e+001°)
1.55596563160506e+002	(-1.97478436985246e+001dB,-9.00007109682101e+001°)
1.55955250282694e+002	(-1.97278436482549e+001dB,-9.00007126071612e+001°)
1.56314764264094e+002	(-1.97078435977531e+001dB,-9.00007142498905e+001°)
1.56675107010813e+002	(-1.96878435470182e+001dB,-9.00007158964066e+001°)
1.57036280433354e+002	(-1.96678434960491e+001dB,-9.00007175467184e+001°)
1.57398286446620e+002	(-1.96478434448448e+001dB,-9.00007192008345e+001°)
1.57761126969933e+002	(-1.96278433934042e+001dB,-9.00007208587637e+001°)
1.58124803927037e+002	(-1.96078433417260e+001dB,-9.00007225205149e+001°)
1.58489319246110e+002	(-1.95878432898094e+001dB,-9.00007241860968e+001°)
1.58854674859776e+002	(-1.95678432376531e+001dB,-9.00007258555183e+001°)
1.59220872705115e+002	(-1.95478431852561e+001dB,-9.00007275287882e+001°)
1.59587914723672e+002	(-1.95278431326172e+001dB,-9.00007292059153e+001°)
1.59955802861465e+002	(-1.95078430797354e+001dB,-9.00007308869087e+001°)
1.60324539069002e+002	(-1.94878430266094e+001dB,-9.00007325717771e+001°)
1.60694125301286e+002	(-1.94678429732383e+001dB,-9.00007342605296e+001°)
1.61064563517825e+002	(-1.94478429196208e+001dB,-9.00007359531751e+001°)
1.61435855682647e+002	(-1.94278428657558e+001dB,-9.00007376497225e+001°)
1.61808003764305e+002	(-1.94078428116421e+001dB,-9.00007393501808e+001°)
1.62181009735891e+002	(-1.93878427572787e+001dB,-9.00007410545591e+001°)
1.62554875575047e+002	(-1.93678427026644e+001dB,-9.00007427628664e+001°)
1.62929603263970e+002	(-1.93478426477980e+001dB,-9.00007444751118e+001°)
1.63305194789432e+002	(-1.93278425926783e+001dB,-9.00007461913043e+001°)
1.63681652142779e+002	(-1.93078425373042e+001dB,-9.00007479114530e+001°)
1.64058977319952e+002	(-1.92878424816745e+001dB,-9.00007496355670e+001°)
1.64437172321491e+002	(-1.92678424257880e+001dB,-9.00007513636556e+001°)
1.64816239152549e+002	(-1.92478423696436e+001dB,-9.00007530957278e+001°)
1.65196179822900e+002	(-1.92278423132400e+001dB,-9.00007548317929e+001°)
1.65576996346951e+002	(-1.92078422565761e+001dB,-9.00007565718600e+001°)
1.65958690743754e+002	(-1.91878421996506e+001dB,-9.00007583159384e+001°)
1.66341265037015e+002	(-1.91678421424624e+001dB,-9.00007600640373e+001°)
1.66724721255104e+002	(-1.91478420850102e+001dB,-9.00007618161660e+001°)
1.67109061431069e+002	(-1.91278420272928e+001dB,-9.00007635723338e+001°)
1.67494287602642e+002	(-1.91078419693090e+001dB,-9.00007653325499e+001°)
1.67880401812254e+002	(-1.90878419110576e+001dB,-9.00007670968238e+001°)
1.68267406107045e+002	(-1.90678418525373e+001dB,-9.00007688651647e+001°)
1.68655302538872e+002	(-1.90478417937468e+001dB,-9.00007706375821e+001°)
1.69044093164324e+002	(-1.90278417346850e+001dB,-9.00007724140853e+001°)
1.69433780044731e+002	(-1.90078416753506e+001dB,-9.00007741946838e+001°)
1.69824365246172e+002	(-1.89878416157423e+001dB,-9.00007759793870e+001°)
1.70215850839493e+002	(-1.89678415558589e+001dB,-9.00007777682044e+001°)
1.70608238900310e+002	(-1.89478414956990e+001dB,-9.00007795611454e+001°)
1.71001531509027e+002	(-1.89278414352615e+001dB,-9.00007813582195e+001°)
1.71395730750840e+002	(-1.89078413745450e+001dB,-9.00007831594364e+001°)
1.71790838715757e+002	(-1.88878413135482e+001dB,-9.00007849648055e+001°)
1.72186857498599e+002	(-1.88678412522699e+001dB,-9.00007867743364e+001°)
1.72583789199018e+002	(-1.88478411907088e+001dB,-9.00007885880387e+001°)
1.72981635921508e+002	(-1.88278411288635e+001dB,-9.00007904059220e+001°)
1.73380399775412e+002	(-1.88078410667327e+001dB,-9.00007922279960e+001°)
1.73780082874935e+002	(-1.87878410043152e+001dB,-9.00007940542702e+001°)
1.74180687339159e+002	(-1.87678409416095e+001dB,-9.00007958847545e+001°)
1.74582215292048e+002	(-1.87478408786144e+001dB,-9.00007977194585e+001°)
1.74984668862463e+002	(-1.87278408153285e+001dB,-9.00007995583919e+001°)
1.75388050184174e+002	(-1.87078407517506e+001dB,-9.00008014015645e+001°)
1.75792361395867e+002	(-1.86878406878791e+001dB,-9.00008032489861e+001°)
1.76197604641161e+002	(-1.86678406237128e+001dB,-9.00008051006664e+001°)
1.76603782068614e+002	(-1.86478405592504e+001dB,-9.00008069566152e+001°)
1.77010895831740e+002	(-1.86278404944904e+001dB,-9.00008088168425e+001°)
1.77418948089014e+002	(-1.86078404294315e+001dB,-9.00008106813580e+001°)
1.77827941003890e+002	(-1.85878403640723e+001dB,-9.00008125501717e+001°)
1.78237876744807e+002	(-1.85678402984114e+001dB,-9.00008144232934e+001°)
1.78648757485203e+002	(-1.85478402324474e+001dB,-9.00008163007332e+001°)
1.79060585403527e+002	(-1.85278401661790e+001dB,-9.00008181825009e+001°)
1.79473362683250e+002	(-1.85078400996047e+001dB,-9.00008200686065e+001°)
1.79887091512876e+002	(-1.84878400327231e+001dB,-9.00008219590600e+001°)
1.80301774085954e+002	(-1.84678399655327e+001dB,-9.00008238538715e+001°)
1.80717412601090e+002	(-1.84478398980323e+001dB,-9.00008257530510e+001°)
1.81134009261958e+002	(-1.84278398302202e+001dB,-9.00008276566085e+001°)
1.81551566277311e+002	(-1.84078397620952e+001dB,-9.00008295645542e+001°)
1.81970085860996e+002	(-1.83878396936557e+001dB,-9.00008314768981e+001°)
1.82389570231961e+002	(-1.83678396249003e+001dB,-9.00008333936505e+001°)
1.82810021614272e+002	(-1.83478395558275e+001dB,-9.00008353148214e+001°)
1.83231442237119e+002	(-1.83278394864359e+001dB,-9.00008372404211e+001°)
1.83653834334832e+002	(-1.83078394167241e+001dB,-9.00008391704598e+001°)
1.84077200146893e+002	(-1.82878393466904e+001dB,-9.00008411049477e+001°)
1.84501541917945e+002	(-1.82678392763335e+001dB,-9.00008430438950e+001°)
1.84926861897805e+002	(-1.82478392056518e+001dB,-9.00008449873120e+001°)
1.85353162341478e+002	(-1.82278391346439e+001dB,-9.00008469352091e+001°)
1.85780445509167e+002	(-1.82078390633082e+001dB,-9.00008488875966e+001°)
1.86208713666284e+002	(-1.81878389916432e+001dB,-9.00008508444848e+001°)
1.86637969083464e+002	(-1.81678389196475e+001dB,-9.00008528058841e+001°)
1.87068214036577e+002	(-1.81478388473194e+001dB,-9.00008547718048e+001°)
1.87499450806739e+002	(-1.81278387746575e+001dB,-9.00008567422575e+001°)
1.87931681680324e+002	(-1.81078387016602e+001dB,-9.00008587172526e+001°)
1.88364908948977e+002	(-1.80878386283260e+001dB,-9.00008606968005e+001°)
1.88799134909627e+002	(-1.80678385546532e+001dB,-9.00008626809117e+001°)
1.89234361864495e+002	(-1.80478384806404e+001dB,-9.00008646695967e+001°)
1.89670592121112e+002	(-1.80278384062860e+001dB,-9.00008666628662e+001°)
1.90107827992327e+002	(-1.80078383315883e+001dB,-9.00008686607306e+001°)
1.90546071796322e+002	(-1.79878382565459e+001dB,-9.00008706632006e+001°)
1.90985325856621e+002	(-1.79678381811571e+001dB,-9.00008726702868e+001°)
1.91425592502106e+002	(-1.79478381054203e+001dB,-9.00008746819997e+001°)
1.91866874067026e+002	(-1.79278380293339e+001dB,-9.00008766983502e+001°)
1.92309172891013e+002	(-1.79078379528964e+001dB,-9.00008787193488e+001°)
1.92752491319091e+002	(-1.78878378761060e+001dB,-9.00008807450063e+001°)
1.93196831701689e+002	(-1.78678377989611e+001dB,-9.00008827753334e+001°)
1.93642196394658e+002	(-1.78478377214602e+001dB,-9.00008848103409e+001°)
1.94088587759275e+002	(-1.78278376436016e+001dB,-9.00008868500396e+001°)
1.94536008162263e+002	(-1.78078375653835e+001dB,-9.00008888944402e+001°)
1.94984459975802e+002	(-1.77878374868044e+001dB,-9.00008909435538e+001°)
1.95433945577536e+002	(-1.77678374078627e+001dB,-9.00008929973910e+001°)
1.95884467350596e+002	(-1.77478373285565e+001dB,-9.00008950559627e+001°)
1.96336027683602e+002	(-1.77278372488843e+001dB,-9.00008971192800e+001°)
1.96788628970681e+002	(-1.77078371688443e+001dB,-9.00008991873538e+001°)
1.97242273611482e+002	(-1.76878370884349e+001dB,-9.00009012601949e+001°)
1.97696964011183e+002	(-1.76678370076543e+001dB,-9.00009033378144e+001°)
1.98152702580507e+002	(-1.76478369265009e+001dB,-9.00009054202233e+001°)
1.98609491735734e+002	(-1.76278368449728e+001dB,-9.00009075074327e+001°)
1.99067333898716e+002	(-1.76078367630685e+001dB,-9.00009095994536e+001°)
1.99526231496885e+002	(-1.75878366807861e+001dB,-9.00009116962972e+001°)
1.99986186963271e+002	(-1.75678365981239e+001dB,-9.00009137979744e+001°)
2.00447202736513e+002	(-1.75478365150801e+001dB,-9.00009159044965e+001°)
2.00909281260870e+002	(-1.75278364316531e+001dB,-9.00009180158746e+001°)
2.01372424986236e+002	(-1.75078363478409e+001dB,-9.00009201321200e+001°)
2.01836636368153e+002	(-1.74878362636419e+001dB,-9.00009222532438e+001°)
2.02301917867824e+002	(-1.74678361790543e+001dB,-9.00009243792573e+001°)
2.02768271952125e+002	(-1.74478360940762e+001dB,-9.00009265101718e+001°)
2.03235701093619e+002	(-1.74278360087059e+001dB,-9.00009286459985e+001°)
2.03704207770569e+002	(-1.74078359229415e+001dB,-9.00009307867489e+001°)
2.04173794466950e+002	(-1.73878358367812e+001dB,-9.00009329324342e+001°)
2.04644463672464e+002	(-1.73678357502233e+001dB,-9.00009350830658e+001°)
2.05116217882553e+002	(-1.73478356632658e+001dB,-9.00009372386551e+001°)
2.05589059598411e+002	(-1.73278355759069e+001dB,-9.00009393992136e+001°)
2.06062991326997e+002	(-1.73078354881448e+001dB,-9.00009415647526e+001°)
2.06538015581050e+002	(-1.72878353999776e+001dB,-9.00009437352838e+001°)
2.07014134879101e+002	(-1.72678353114034e+001dB,-9.00009459108185e+001°)
2.07491351745488e+002	(-1.72478352224205e+001dB,-9.00009480913684e+001°)
2.07969668710366e+002	(-1.72278351330267e+001dB,-9.00009502769450e+001°)
2.08449088309726e+002	(-1.72078350432204e+001dB,-9.00009524675598e+001°)
2.08929613085401e+002	(-1.71878349529995e+001dB,-9.00009546632245e+001°)
2.09411245585086e+002	(-1.71678348623622e+001dB,-9.00009568639508e+001°)
2.09893988362349e+002	(-1.71478347713065e+001dB,-9.00009590697503e+001°)
2.10377843976644e+002	(-1.71278346798305e+001dB,-9.00009612806346e+001°)
2.10862814993325e+002	(-1.71078345879323e+001dB,-9.00009634966156e+001°)
2.11348903983661e+002	(-1.70878344956099e+001dB,-9.00009657177049e+001°)
2.11836113524847e+002	(-1.70678344028614e+001dB,-9.00009679439144e+001°)
2.12324446200018e+002	(-1.70478343096847e+001dB,-9.00009701752558e+001°)
2.12813904598268e+002	(-1.70278342160780e+001dB,-9.00009724117410e+001°)
2.13304491314654e+002	(-1.70078341220392e+001dB,-9.00009746533819e+001°)
2.13796208950220e+002	(-1.69878340275664e+001dB,-9.00009769001902e+001°)
2.14289060112002e+002	(-1.69678339326574e+001dB,-9.00009791521780e+001°)
2.14783047413050e+002	(-1.69478338373104e+001dB,-9.00009814093571e+001°)
2.15278173472434e+002	(-1.69278337415233e+001dB,-9.00009836717396e+001°)
2.15774440915263e+002	(-1.69078336452940e+001dB,-9.00009859393374e+001°)
2.16271852372698e+002	(-1.68878335486206e+001dB,-9.00009882121626e+001°)
2.16770410481966e+002	(-1.68678334515010e+001dB,-9.00009904902272e+001°)
2.17270117886371e+002	(-1.68478333539330e+001dB,-9.00009927735432e+001°)
2.17770977235312e+002	(-1.68278332559147e+001dB,-9.00009950621229e+001°)
2.18272991184296e+002	(-1.68078331574440e+001dB,-9.00009973559783e+001°)
2.18776162394951e+002	(-1.67878330585188e+001dB,-9.00009996551215e+001°)
2.19280493535041e+002	(-1.67678329591369e+001dB,-9.00010019595649e+001°)
2.19785987278479e+002	(-1.67478328592963e+001dB,-9.00010042693205e+001°)
2.20292646305342e+002	(-1.67278327589949e+001dB,-9.00010065844006e+001°)
2.20800473301886e+002	(-1.67078326582305e+001dB,-9.00010089048176e+001°)
2.21309470960560e+002	(-1.66878325570010e+001dB,-9.00010112305837e+001°)
2.21819641980018e+002	(-1.66678324553042e+001dB,-9.00010135617112e+001°)
2.22330989065136e+002	(-1.66478323531380e+001dB,-9.00010158982126e+001°)
