Freq.	V(out)
1.43548943335364e-003	(1.99996973493573e+001dB,1.79999455791493e+002°)
1.43879857825583e-003	(1.99996973493555e+001dB,1.79999454536962e+002°)
1.44211535152486e-003	(1.99996973493537e+001dB,1.79999453279540e+002°)
1.44543977074592e-003	(1.99996973493519e+001dB,1.79999452019219e+002°)
1.44877185354475e-003	(1.99996973493500e+001dB,1.79999450755993e+002°)
1.45211161758773e-003	(1.99996973493482e+001dB,1.79999449489855e+002°)
1.45545908058195e-003	(1.99996973493463e+001dB,1.79999448220798e+002°)
1.45881426027534e-003	(1.99996973493445e+001dB,1.79999446948816e+002°)
1.46217717445671e-003	(1.99996973493426e+001dB,1.79999445673901e+002°)
1.46554784095590e-003	(1.99996973493407e+001dB,1.79999444396047e+002°)
1.46892627764385e-003	(1.99996973493389e+001dB,1.79999443115248e+002°)
1.47231250243271e-003	(1.99996973493370e+001dB,1.79999441831496e+002°)
1.47570653327588e-003	(1.99996973493351e+001dB,1.79999440544785e+002°)
1.47910838816819e-003	(1.99996973493331e+001dB,1.79999439255107e+002°)
1.48251808514594e-003	(1.99996973493312e+001dB,1.79999437962457e+002°)
1.48593564228699e-003	(1.99996973493293e+001dB,1.79999436666827e+002°)
1.48936107771090e-003	(1.99996973493274e+001dB,1.79999435368209e+002°)
1.49279440957898e-003	(1.99996973493254e+001dB,1.79999434066599e+002°)
1.49623565609442e-003	(1.99996973493235e+001dB,1.79999432761988e+002°)
1.49968483550236e-003	(1.99996973493215e+001dB,1.79999431454369e+002°)
1.50314196609001e-003	(1.99996973493195e+001dB,1.79999430143736e+002°)
1.50660706618673e-003	(1.99996973493175e+001dB,1.79999428830081e+002°)
1.51008015416413e-003	(1.99996973493155e+001dB,1.79999427513399e+002°)
1.51356124843619e-003	(1.99996973493135e+001dB,1.79999426193681e+002°)
1.51705036745932e-003	(1.99996973493115e+001dB,1.79999424870921e+002°)
1.52054752973248e-003	(1.99996973493095e+001dB,1.79999423545111e+002°)
1.52405275379728e-003	(1.99996973493075e+001dB,1.79999422216246e+002°)
1.52756605823806e-003	(1.99996973493054e+001dB,1.79999420884316e+002°)
1.53108746168202e-003	(1.99996973493034e+001dB,1.79999419549317e+002°)
1.53461698279928e-003	(1.99996973493013e+001dB,1.79999418211240e+002°)
1.53815464030302e-003	(1.99996973492993e+001dB,1.79999416870078e+002°)
1.54170045294954e-003	(1.99996973492972e+001dB,1.79999415525825e+002°)
1.54525443953840e-003	(1.99996973492951e+001dB,1.79999414178473e+002°)
1.54881661891247e-003	(1.99996973492930e+001dB,1.79999412828015e+002°)
1.55238700995807e-003	(1.99996973492909e+001dB,1.79999411474444e+002°)
1.55596563160506e-003	(1.99996973492888e+001dB,1.79999410117752e+002°)
1.55955250282694e-003	(1.99996973492867e+001dB,1.79999408757933e+002°)
1.56314764264094e-003	(1.99996973492845e+001dB,1.79999407394979e+002°)
1.56675107010813e-003	(1.99996973492824e+001dB,1.79999406028884e+002°)
1.57036280433354e-003	(1.99996973492802e+001dB,1.79999404659639e+002°)
1.57398286446620e-003	(1.99996973492781e+001dB,1.79999403287237e+002°)
1.57761126969933e-003	(1.99996973492759e+001dB,1.79999401911672e+002°)
1.58124803927037e-003	(1.99996973492737e+001dB,1.79999400532937e+002°)
1.58489319246110e-003	(1.99996973492715e+001dB,1.79999399151022e+002°)
1.58854674859776e-003	(1.99996973492693e+001dB,1.79999397765922e+002°)
1.59220872705115e-003	(1.99996973492671e+001dB,1.79999396377629e+002°)
1.59587914723672e-003	(1.99996973492649e+001dB,1.79999394986136e+002°)
1.59955802861465e-003	(1.99996973492626e+001dB,1.79999393591435e+002°)
1.60324539069002e-003	(1.99996973492604e+001dB,1.79999392193519e+002°)
1.60694125301286e-003	(1.99996973492581e+001dB,1.79999390792380e+002°)
1.61064563517825e-003	(1.99996973492559e+001dB,1.79999389388012e+002°)
1.61435855682647e-003	(1.99996973492536e+001dB,1.79999387980406e+002°)
1.61808003764305e-003	(1.99996973492513e+001dB,1.79999386569555e+002°)
1.62181009735891e-003	(1.99996973492490e+001dB,1.79999385155452e+002°)
1.62554875575047e-003	(1.99996973492467e+001dB,1.79999383738089e+002°)
1.62929603263970e-003	(1.99996973492444e+001dB,1.79999382317458e+002°)
1.63305194789432e-003	(1.99996973492420e+001dB,1.79999380893553e+002°)
1.63681652142779e-003	(1.99996973492397e+001dB,1.79999379466365e+002°)
1.64058977319952e-003	(1.99996973492374e+001dB,1.79999378035887e+002°)
1.64437172321491e-003	(1.99996973492350e+001dB,1.79999376602112e+002°)
1.64816239152549e-003	(1.99996973492326e+001dB,1.79999375165031e+002°)
1.65196179822900e-003	(1.99996973492302e+001dB,1.79999373724638e+002°)
1.65576996346951e-003	(1.99996973492278e+001dB,1.79999372280924e+002°)
1.65958690743754e-003	(1.99996973492254e+001dB,1.79999370833882e+002°)
1.66341265037015e-003	(1.99996973492230e+001dB,1.79999369383505e+002°)
1.66724721255104e-003	(1.99996973492206e+001dB,1.79999367929783e+002°)
1.67109061431069e-003	(1.99996973492182e+001dB,1.79999366472711e+002°)
1.67494287602642e-003	(1.99996973492157e+001dB,1.79999365012280e+002°)
1.67880401812254e-003	(1.99996973492132e+001dB,1.79999363548482e+002°)
1.68267406107045e-003	(1.99996973492108e+001dB,1.79999362081310e+002°)
1.68655302538872e-003	(1.99996973492083e+001dB,1.79999360610755e+002°)
1.69044093164324e-003	(1.99996973492058e+001dB,1.79999359136811e+002°)
1.69433780044731e-003	(1.99996973492033e+001dB,1.79999357659469e+002°)
1.69824365246172e-003	(1.99996973492008e+001dB,1.79999356178721e+002°)
1.70215850839493e-003	(1.99996973491982e+001dB,1.79999354694559e+002°)
1.70608238900310e-003	(1.99996973491957e+001dB,1.79999353206977e+002°)
1.71001531509027e-003	(1.99996973491931e+001dB,1.79999351715965e+002°)
1.71395730750840e-003	(1.99996973491906e+001dB,1.79999350221516e+002°)
1.71790838715757e-003	(1.99996973491880e+001dB,1.79999348723622e+002°)
1.72186857498599e-003	(1.99996973491854e+001dB,1.79999347222275e+002°)
1.72583789199018e-003	(1.99996973491828e+001dB,1.79999345717467e+002°)
1.72981635921508e-003	(1.99996973491802e+001dB,1.79999344209190e+002°)
1.73380399775412e-003	(1.99996973491776e+001dB,1.79999342697436e+002°)
1.73780082874935e-003	(1.99996973491749e+001dB,1.79999341182197e+002°)
1.74180687339159e-003	(1.99996973491723e+001dB,1.79999339663465e+002°)
1.74582215292048e-003	(1.99996973491696e+001dB,1.79999338141232e+002°)
1.74984668862464e-003	(1.99996973491669e+001dB,1.79999336615490e+002°)
1.75388050184174e-003	(1.99996973491642e+001dB,1.79999335086231e+002°)
1.75792361395867e-003	(1.99996973491615e+001dB,1.79999333553446e+002°)
1.76197604641161e-003	(1.99996973491588e+001dB,1.79999332017128e+002°)
1.76603782068614e-003	(1.99996973491561e+001dB,1.79999330477269e+002°)
1.77010895831740e-003	(1.99996973491534e+001dB,1.79999328933859e+002°)
1.77418948089014e-003	(1.99996973491506e+001dB,1.79999327386892e+002°)
1.77827941003890e-003	(1.99996973491479e+001dB,1.79999325836359e+002°)
1.78237876744807e-003	(1.99996973491451e+001dB,1.79999324282251e+002°)
1.78648757485203e-003	(1.99996973491423e+001dB,1.79999322724561e+002°)
1.79060585403527e-003	(1.99996973491395e+001dB,1.79999321163280e+002°)
1.79473362683250e-003	(1.99996973491367e+001dB,1.79999319598399e+002°)
1.79887091512876e-003	(1.99996973491338e+001dB,1.79999318029912e+002°)
1.80301774085954e-003	(1.99996973491310e+001dB,1.79999316457808e+002°)
1.80717412601090e-003	(1.99996973491282e+001dB,1.79999314882081e+002°)
1.81134009261958e-003	(1.99996973491253e+001dB,1.79999313302721e+002°)
1.81551566277311e-003	(1.99996973491224e+001dB,1.79999311719720e+002°)
1.81970085860996e-003	(1.99996973491195e+001dB,1.79999310133070e+002°)
1.82389570231961e-003	(1.99996973491166e+001dB,1.79999308542763e+002°)
1.82810021614272e-003	(1.99996973491137e+001dB,1.79999306948789e+002°)
1.83231442237119e-003	(1.99996973491108e+001dB,1.79999305351141e+002°)
1.83653834334832e-003	(1.99996973491078e+001dB,1.79999303749810e+002°)
1.84077200146893e-003	(1.99996973491048e+001dB,1.79999302144788e+002°)
1.84501541917945e-003	(1.99996973491019e+001dB,1.79999300536065e+002°)
1.84926861897805e-003	(1.99996973490989e+001dB,1.79999298923634e+002°)
1.85353162341479e-003	(1.99996973490959e+001dB,1.79999297307486e+002°)
1.85780445509167e-003	(1.99996973490929e+001dB,1.79999295687613e+002°)
1.86208713666284e-003	(1.99996973490898e+001dB,1.79999294064005e+002°)
1.86637969083464e-003	(1.99996973490868e+001dB,1.79999292436655e+002°)
1.87068214036577e-003	(1.99996973490837e+001dB,1.79999290805553e+002°)
1.87499450806739e-003	(1.99996973490807e+001dB,1.79999289170691e+002°)
1.87931681680324e-003	(1.99996973490776e+001dB,1.79999287532060e+002°)
1.88364908948977e-003	(1.99996973490745e+001dB,1.79999285889652e+002°)
1.88799134909627e-003	(1.99996973490714e+001dB,1.79999284243457e+002°)
1.89234361864495e-003	(1.99996973490682e+001dB,1.79999282593468e+002°)
1.89670592121112e-003	(1.99996973490651e+001dB,1.79999280939675e+002°)
1.90107827992327e-003	(1.99996973490620e+001dB,1.79999279282070e+002°)
1.90546071796322e-003	(1.99996973490588e+001dB,1.79999277620643e+002°)
1.90985325856621e-003	(1.99996973490556e+001dB,1.79999275955387e+002°)
1.91425592502106e-003	(1.99996973490524e+001dB,1.79999274286292e+002°)
1.91866874067026e-003	(1.99996973490492e+001dB,1.79999272613349e+002°)
1.92309172891013e-003	(1.99996973490459e+001dB,1.79999270936550e+002°)
1.92752491319091e-003	(1.99996973490427e+001dB,1.79999269255885e+002°)
1.93196831701689e-003	(1.99996973490394e+001dB,1.79999267571346e+002°)
1.93642196394658e-003	(1.99996973490362e+001dB,1.79999265882923e+002°)
1.94088587759275e-003	(1.99996973490329e+001dB,1.79999264190609e+002°)
1.94536008162263e-003	(1.99996973490296e+001dB,1.79999262494393e+002°)
1.94984459975802e-003	(1.99996973490262e+001dB,1.79999260794267e+002°)
1.95433945577536e-003	(1.99996973490229e+001dB,1.79999259090221e+002°)
1.95884467350596e-003	(1.99996973490196e+001dB,1.79999257382248e+002°)
1.96336027683602e-003	(1.99996973490162e+001dB,1.79999255670337e+002°)
1.96788628970681e-003	(1.99996973490128e+001dB,1.79999253954480e+002°)
1.97242273611482e-003	(1.99996973490094e+001dB,1.79999252234668e+002°)
1.97696964011183e-003	(1.99996973490060e+001dB,1.79999250510891e+002°)
1.98152702580507e-003	(1.99996973490026e+001dB,1.79999248783140e+002°)
1.98609491735734e-003	(1.99996973489991e+001dB,1.79999247051406e+002°)
1.99067333898716e-003	(1.99996973489957e+001dB,1.79999245315680e+002°)
1.99526231496885e-003	(1.99996973489922e+001dB,1.79999243575953e+002°)
1.99986186963271e-003	(1.99996973489887e+001dB,1.79999241832216e+002°)
2.00447202736513e-003	(1.99996973489852e+001dB,1.79999240084458e+002°)
2.00909281260870e-003	(1.99996973489816e+001dB,1.79999238332672e+002°)
2.01372424986236e-003	(1.99996973489781e+001dB,1.79999236576848e+002°)
2.01836636368153e-003	(1.99996973489745e+001dB,1.79999234816976e+002°)
2.02301917867824e-003	(1.99996973489710e+001dB,1.79999233053047e+002°)
2.02768271952125e-003	(1.99996973489674e+001dB,1.79999231285051e+002°)
2.03235701093619e-003	(1.99996973489638e+001dB,1.79999229512980e+002°)
2.03704207770569e-003	(1.99996973489601e+001dB,1.79999227736824e+002°)
2.04173794466950e-003	(1.99996973489565e+001dB,1.79999225956574e+002°)
2.04644463672464e-003	(1.99996973489528e+001dB,1.79999224172219e+002°)
2.05116217882553e-003	(1.99996973489492e+001dB,1.79999222383752e+002°)
2.05589059598411e-003	(1.99996973489455e+001dB,1.79999220591161e+002°)
2.06062991326997e-003	(1.99996973489418e+001dB,1.79999218794438e+002°)
2.06538015581050e-003	(1.99996973489380e+001dB,1.79999216993573e+002°)
2.07014134879101e-003	(1.99996973489343e+001dB,1.79999215188557e+002°)
2.07491351745488e-003	(1.99996973489305e+001dB,1.79999213379380e+002°)
2.07969668710366e-003	(1.99996973489268e+001dB,1.79999211566032e+002°)
2.08449088309725e-003	(1.99996973489230e+001dB,1.79999209748504e+002°)
2.08929613085401e-003	(1.99996973489191e+001dB,1.79999207926786e+002°)
2.09411245585086e-003	(1.99996973489153e+001dB,1.79999206100869e+002°)
2.09893988362349e-003	(1.99996973489115e+001dB,1.79999204270742e+002°)
2.10377843976644e-003	(1.99996973489076e+001dB,1.79999202436397e+002°)
2.10862814993325e-003	(1.99996973489037e+001dB,1.79999200597823e+002°)
2.11348903983661e-003	(1.99996973488998e+001dB,1.79999198755011e+002°)
2.11836113524847e-003	(1.99996973488959e+001dB,1.79999196907950e+002°)
2.12324446200018e-003	(1.99996973488920e+001dB,1.79999195056632e+002°)
2.12813904598268e-003	(1.99996973488880e+001dB,1.79999193201046e+002°)
2.13304491314654e-003	(1.99996973488840e+001dB,1.79999191341182e+002°)
2.13796208950220e-003	(1.99996973488800e+001dB,1.79999189477031e+002°)
2.14289060112002e-003	(1.99996973488760e+001dB,1.79999187608583e+002°)
2.14783047413050e-003	(1.99996973488720e+001dB,1.79999185735827e+002°)
2.15278173472434e-003	(1.99996973488679e+001dB,1.79999183858754e+002°)
2.15774440915263e-003	(1.99996973488639e+001dB,1.79999181977354e+002°)
2.16271852372698e-003	(1.99996973488598e+001dB,1.79999180091617e+002°)
2.16770410481966e-003	(1.99996973488557e+001dB,1.79999178201533e+002°)
2.17270117886371e-003	(1.99996973488516e+001dB,1.79999176307092e+002°)
2.17770977235312e-003	(1.99996973488474e+001dB,1.79999174408284e+002°)
2.18272991184296e-003	(1.99996973488433e+001dB,1.79999172505098e+002°)
2.18776162394951e-003	(1.99996973488391e+001dB,1.79999170597526e+002°)
2.19280493535041e-003	(1.99996973488349e+001dB,1.79999168685556e+002°)
2.19785987278479e-003	(1.99996973488307e+001dB,1.79999166769178e+002°)
2.20292646305342e-003	(1.99996973488264e+001dB,1.79999164848382e+002°)
2.20800473301886e-003	(1.99996973488222e+001dB,1.79999162923159e+002°)
2.21309470960560e-003	(1.99996973488179e+001dB,1.79999160993498e+002°)
2.21819641980018e-003	(1.99996973488136e+001dB,1.79999159059388e+002°)
2.22330989065136e-003	(1.99996973488093e+001dB,1.79999157120820e+002°)
2.22843514927026e-003	(1.99996973488049e+001dB,1.79999155177782e+002°)
2.23357222283049e-003	(1.99996973488006e+001dB,1.79999153230266e+002°)
2.23872113856830e-003	(1.99996973487962e+001dB,1.79999151278260e+002°)
2.24388192378273e-003	(1.99996973487918e+001dB,1.79999149321755e+002°)
2.24905460583574e-003	(1.99996973487874e+001dB,1.79999147360739e+002°)
2.25423921215239e-003	(1.99996973487829e+001dB,1.79999145395202e+002°)
2.25943577022094e-003	(1.99996973487785e+001dB,1.79999143425135e+002°)
2.26464430759302e-003	(1.99996973487740e+001dB,1.79999141450526e+002°)
2.26986485188378e-003	(1.99996973487695e+001dB,1.79999139471365e+002°)
2.27509743077203e-003	(1.99996973487650e+001dB,1.79999137487641e+002°)
2.28034207200038e-003	(1.99996973487604e+001dB,1.79999135499345e+002°)
2.28559880337539e-003	(1.99996973487559e+001dB,1.79999133506465e+002°)
2.29086765276773e-003	(1.99996973487513e+001dB,1.79999131508991e+002°)
2.29614864811232e-003	(1.99996973487467e+001dB,1.79999129506913e+002°)
2.30144181740847e-003	(1.99996973487420e+001dB,1.79999127500219e+002°)
2.30674718872003e-003	(1.99996973487374e+001dB,1.79999125488899e+002°)
2.31206479017555e-003	(1.99996973487327e+001dB,1.79999123472943e+002°)
2.31739464996844e-003	(1.99996973487280e+001dB,1.79999121452339e+002°)
2.32273679635706e-003	(1.99996973487233e+001dB,1.79999119427078e+002°)
