Freq.	V(out)/V(Vin)
1.21059813355048e-003	(1.09716066826049e+002dB,1.65808471296979e+002°)
1.21338885046497e-003	(1.09714862112730e+002dB,1.65777082507830e+002°)
1.21618600064636e-003	(1.09713652175113e+002dB,1.65745630104931e+002°)
1.21898959892486e-003	(1.09712436992007e+002dB,1.65714113997349e+002°)
1.22179966016487e-003	(1.09711216542148e+002dB,1.65682534094273e+002°)
1.22461619926504e-003	(1.09709990804199e+002dB,1.65650890305021e+002°)
1.22743923115840e-003	(1.09708759756749e+002dB,1.65619182539037e+002°)
1.23026877081238e-003	(1.09707523378313e+002dB,1.65587410705896e+002°)
1.23310483322890e-003	(1.09706281647335e+002dB,1.65555574715305e+002°)
1.23594743344450e-003	(1.09705034542180e+002dB,1.65523674477104e+002°)
1.23879658653036e-003	(1.09703782041144e+002dB,1.65491709901273e+002°)
1.24165230759240e-003	(1.09702524122445e+002dB,1.65459680897925e+002°)
1.24451461177138e-003	(1.09701260764229e+002dB,1.65427587377319e+002°)
1.24738351424294e-003	(1.09699991944566e+002dB,1.65395429249854e+002°)
1.25025903021771e-003	(1.09698717641453e+002dB,1.65363206426074e+002°)
1.25314117494141e-003	(1.09697437832811e+002dB,1.65330918816670e+002°)
1.25602996369487e-003	(1.09696152496487e+002dB,1.65298566332484e+002°)
1.25892541179416e-003	(1.09694861610252e+002dB,1.65266148884508e+002°)
1.26182753459066e-003	(1.09693565151801e+002dB,1.65233666383887e+002°)
1.26473634747114e-003	(1.09692263098758e+002dB,1.65201118741925e+002°)
1.26765186585784e-003	(1.09690955428666e+002dB,1.65168505870079e+002°)
1.27057410520853e-003	(1.09689642118996e+002dB,1.65135827679972e+002°)
1.27350308101665e-003	(1.09688323147142e+002dB,1.65103084083386e+002°)
1.27643880881134e-003	(1.09686998490424e+002dB,1.65070274992268e+002°)
1.27938130415752e-003	(1.09685668126084e+002dB,1.65037400318734e+002°)
1.28233058265601e-003	(1.09684332031288e+002dB,1.65004459975068e+002°)
1.28528665994361e-003	(1.09682990183127e+002dB,1.64971453873726e+002°)
1.28824955169313e-003	(1.09681642558615e+002dB,1.64938381927338e+002°)
1.29121927361353e-003	(1.09680289134691e+002dB,1.64905244048712e+002°)
1.29419584144998e-003	(1.09678929888215e+002dB,1.64872040150831e+002°)
1.29717927098395e-003	(1.09677564795973e+002dB,1.64838770146863e+002°)
1.30016957803328e-003	(1.09676193834671e+002dB,1.64805433950157e+002°)
1.30316677845229e-003	(1.09674816980942e+002dB,1.64772031474249e+002°)
1.30617088813183e-003	(1.09673434211339e+002dB,1.64738562632862e+002°)
1.30918192299940e-003	(1.09672045502339e+002dB,1.64705027339909e+002°)
1.31219989901919e-003	(1.09670650830342e+002dB,1.64671425509500e+002°)
1.31522483219223e-003	(1.09669250171670e+002dB,1.64637757055935e+002°)
1.31825673855640e-003	(1.09667843502568e+002dB,1.64604021893715e+002°)
1.32129563418657e-003	(1.09666430799204e+002dB,1.64570219937541e+002°)
1.32434153519466e-003	(1.09665012037667e+002dB,1.64536351102316e+002°)
1.32739445772973e-003	(1.09663587193968e+002dB,1.64502415303148e+002°)
1.33045441797808e-003	(1.09662156244044e+002dB,1.64468412455353e+002°)
1.33352143216331e-003	(1.09660719163748e+002dB,1.64434342474458e+002°)
1.33659551654643e-003	(1.09659275928859e+002dB,1.64400205276201e+002°)
1.33967668742593e-003	(1.09657826515078e+002dB,1.64366000776537e+002°)
1.34276496113785e-003	(1.09656370898025e+002dB,1.64331728891637e+002°)
1.34586035405594e-003	(1.09654909053243e+002dB,1.64297389537893e+002°)
1.34896288259164e-003	(1.09653440956197e+002dB,1.64262982631920e+002°)
1.35207256319427e-003	(1.09651966582274e+002dB,1.64228508090557e+002°)
1.35518941235103e-003	(1.09650485906780e+002dB,1.64193965830873e+002°)
1.35831344658714e-003	(1.09648998904944e+002dB,1.64159355770167e+002°)
1.36144468246594e-003	(1.09647505551916e+002dB,1.64124677825970e+002°)
1.36458313658891e-003	(1.09646005822766e+002dB,1.64089931916049e+002°)
1.36772882559584e-003	(1.09644499692486e+002dB,1.64055117958410e+002°)
1.37088176616484e-003	(1.09642987135989e+002dB,1.64020235871300e+002°)
1.37404197501250e-003	(1.09641468128107e+002dB,1.63985285573210e+002°)
1.37720946889394e-003	(1.09639942643595e+002dB,1.63950266982875e+002°)
1.38038426460287e-003	(1.09638410657128e+002dB,1.63915180019282e+002°)
1.38356637897177e-003	(1.09636872143300e+002dB,1.63880024601667e+002°)
1.38675582887188e-003	(1.09635327076627e+002dB,1.63844800649524e+002°)
1.38995263121334e-003	(1.09633775431544e+002dB,1.63809508082600e+002°)
1.39315680294529e-003	(1.09632217182409e+002dB,1.63774146820904e+002°)
1.39636836105593e-003	(1.09630652303496e+002dB,1.63738716784707e+002°)
1.39958732257261e-003	(1.09629080769004e+002dB,1.63703217894546e+002°)
1.40281370456195e-003	(1.09627502553047e+002dB,1.63667650071225e+002°)
1.40604752412990e-003	(1.09625917629664e+002dB,1.63632013235820e+002°)
1.40928879842186e-003	(1.09624325972809e+002dB,1.63596307309680e+002°)
1.41253754462274e-003	(1.09622727556359e+002dB,1.63560532214430e+002°)
1.41579377995707e-003	(1.09621122354111e+002dB,1.63524687871974e+002°)
1.41905752168908e-003	(1.09619510339780e+002dB,1.63488774204500e+002°)
1.42232878712281e-003	(1.09617891487001e+002dB,1.63452791134479e+002°)
1.42560759360218e-003	(1.09616265769330e+002dB,1.63416738584670e+002°)
1.42889395851109e-003	(1.09614633160240e+002dB,1.63380616478123e+002°)
1.43218789927353e-003	(1.09612993633126e+002dB,1.63344424738181e+002°)
1.43548943335364e-003	(1.09611347161300e+002dB,1.63308163288484e+002°)
1.43879857825583e-003	(1.09609693717997e+002dB,1.63271832052972e+002°)
1.44211535152486e-003	(1.09608033276367e+002dB,1.63235430955884e+002°)
1.44543977074592e-003	(1.09606365809481e+002dB,1.63198959921768e+002°)
1.44877185354475e-003	(1.09604691290331e+002dB,1.63162418875477e+002°)
1.45211161758773e-003	(1.09603009691826e+002dB,1.63125807742176e+002°)
1.45545908058195e-003	(1.09601320986794e+002dB,1.63089126447344e+002°)
1.45881426027534e-003	(1.09599625147983e+002dB,1.63052374916777e+002°)
1.46217717445671e-003	(1.09597922148061e+002dB,1.63015553076591e+002°)
1.46554784095590e-003	(1.09596211959611e+002dB,1.62978660853224e+002°)
1.46892627764385e-003	(1.09594494555140e+002dB,1.62941698173440e+002°)
1.47231250243271e-003	(1.09592769907071e+002dB,1.62904664964333e+002°)
1.47570653327588e-003	(1.09591037987746e+002dB,1.62867561153327e+002°)
1.47910838816819e-003	(1.09589298769427e+002dB,1.62830386668183e+002°)
1.48251808514594e-003	(1.09587552224293e+002dB,1.62793141436998e+002°)
1.48593564228699e-003	(1.09585798324444e+002dB,1.62755825388212e+002°)
1.48936107771090e-003	(1.09584037041897e+002dB,1.62718438450606e+002°)
1.49279440957898e-003	(1.09582268348589e+002dB,1.62680980553313e+002°)
1.49623565609442e-003	(1.09580492216374e+002dB,1.62643451625812e+002°)
1.49968483550236e-003	(1.09578708617026e+002dB,1.62605851597937e+002°)
1.50314196609001e-003	(1.09576917522238e+002dB,1.62568180399878e+002°)
1.50660706618673e-003	(1.09575118903620e+002dB,1.62530437962186e+002°)
1.51008015416413e-003	(1.09573312732703e+002dB,1.62492624215774e+002°)
1.51356124843619e-003	(1.09571498980935e+002dB,1.62454739091920e+002°)
1.51705036745932e-003	(1.09569677619683e+002dB,1.62416782522272e+002°)
1.52054752973248e-003	(1.09567848620232e+002dB,1.62378754438851e+002°)
1.52405275379728e-003	(1.09566011953787e+002dB,1.62340654774053e+002°)
1.52756605823806e-003	(1.09564167591471e+002dB,1.62302483460651e+002°)
1.53108746168202e-003	(1.09562315504324e+002dB,1.62264240431803e+002°)
1.53461698279928e-003	(1.09560455663308e+002dB,1.62225925621050e+002°)
1.53815464030302e-003	(1.09558588039300e+002dB,1.62187538962321e+002°)
1.54170045294954e-003	(1.09556712603098e+002dB,1.62149080389939e+002°)
1.54525443953840e-003	(1.09554829325418e+002dB,1.62110549838620e+002°)
1.54881661891247e-003	(1.09552938176895e+002dB,1.62071947243478e+002°)
1.55238700995807e-003	(1.09551039128081e+002dB,1.62033272540029e+002°)
1.55596563160506e-003	(1.09549132149450e+002dB,1.61994525664195e+002°)
1.55955250282694e-003	(1.09547217211391e+002dB,1.61955706552303e+002°)
1.56314764264094e-003	(1.09545294284213e+002dB,1.61916815141095e+002°)
1.56675107010813e-003	(1.09543363338146e+002dB,1.61877851367724e+002°)
1.57036280433354e-003	(1.09541424343335e+002dB,1.61838815169764e+002°)
1.57398286446620e-003	(1.09539477269848e+002dB,1.61799706485208e+002°)
1.57761126969933e-003	(1.09537522087667e+002dB,1.61760525252476e+002°)
1.58124803927037e-003	(1.09535558766697e+002dB,1.61721271410414e+002°)
1.58489319246110e-003	(1.09533587276760e+002dB,1.61681944898302e+002°)
1.58854674859776e-003	(1.09531607587597e+002dB,1.61642545655852e+002°)
1.59220872705115e-003	(1.09529619668868e+002dB,1.61603073623215e+002°)
1.59587914723672e-003	(1.09527623490153e+002dB,1.61563528740985e+002°)
1.59955802861465e-003	(1.09525619020951e+002dB,1.61523910950201e+002°)
1.60324539069002e-003	(1.09523606230678e+002dB,1.61484220192349e+002°)
1.60694125301286e-003	(1.09521585088672e+002dB,1.61444456409367e+002°)
1.61064563517825e-003	(1.09519555564188e+002dB,1.61404619543650e+002°)
1.61435855682647e-003	(1.09517517626402e+002dB,1.61364709538052e+002°)
1.61808003764305e-003	(1.09515471244408e+002dB,1.61324726335887e+002°)
1.62181009735891e-003	(1.09513416387220e+002dB,1.61284669880937e+002°)
1.62554875575047e-003	(1.09511353023773e+002dB,1.61244540117452e+002°)
1.62929603263970e-003	(1.09509281122919e+002dB,1.61204336990156e+002°)
1.63305194789432e-003	(1.09507200653430e+002dB,1.61164060444249e+002°)
1.63681652142779e-003	(1.09505111584000e+002dB,1.61123710425409e+002°)
1.64058977319952e-003	(1.09503013883241e+002dB,1.61083286879802e+002°)
1.64437172321491e-003	(1.09500907519685e+002dB,1.61042789754075e+002°)
1.64816239152549e-003	(1.09498792461783e+002dB,1.61002218995371e+002°)
1.65196179822900e-003	(1.09496668677909e+002dB,1.60961574551323e+002°)
1.65576996346951e-003	(1.09494536136354e+002dB,1.60920856370063e+002°)
1.65958690743754e-003	(1.09492394805331e+002dB,1.60880064400226e+002°)
1.66341265037015e-003	(1.09490244652973e+002dB,1.60839198590949e+002°)
1.66724721255104e-003	(1.09488085647333e+002dB,1.60798258891879e+002°)
1.67109061431069e-003	(1.09485917756386e+002dB,1.60757245253174e+002°)
1.67494287602642e-003	(1.09483740948024e+002dB,1.60716157625510e+002°)
1.67880401812254e-003	(1.09481555190065e+002dB,1.60674995960078e+002°)
1.68267406107045e-003	(1.09479360450243e+002dB,1.60633760208597e+002°)
1.68655302538872e-003	(1.09477156696216e+002dB,1.60592450323308e+002°)
1.69044093164324e-003	(1.09474943895562e+002dB,1.60551066256986e+002°)
1.69433780044731e-003	(1.09472722015780e+002dB,1.60509607962936e+002°)
1.69824365246172e-003	(1.09470491024291e+002dB,1.60468075395003e+002°)
1.70215850839493e-003	(1.09468250888437e+002dB,1.60426468507573e+002°)
1.70608238900310e-003	(1.09466001575482e+002dB,1.60384787255577e+002°)
1.71001531509027e-003	(1.09463743052611e+002dB,1.60343031594494e+002°)
1.71395730750840e-003	(1.09461475286932e+002dB,1.60301201480355e+002°)
1.71790838715757e-003	(1.09459198245474e+002dB,1.60259296869747e+002°)
1.72186857498599e-003	(1.09456911895188e+002dB,1.60217317719817e+002°)
1.72583789199018e-003	(1.09454616202948e+002dB,1.60175263988277e+002°)
1.72981635921508e-003	(1.09452311135551e+002dB,1.60133135633403e+002°)
1.73380399775412e-003	(1.09449996659716e+002dB,1.60090932614044e+002°)
1.73780082874935e-003	(1.09447672742083e+002dB,1.60048654889623e+002°)
1.74180687339159e-003	(1.09445339349218e+002dB,1.60006302420143e+002°)
1.74582215292048e-003	(1.09442996447607e+002dB,1.59963875166186e+002°)
1.74984668862464e-003	(1.09440644003663e+002dB,1.59921373088922e+002°)
1.75388050184174e-003	(1.09438281983719e+002dB,1.59878796150111e+002°)
1.75792361395867e-003	(1.09435910354034e+002dB,1.59836144312106e+002°)
1.76197604641161e-003	(1.09433529080788e+002dB,1.59793417537856e+002°)
1.76603782068614e-003	(1.09431138130088e+002dB,1.59750615790913e+002°)
1.77010895831740e-003	(1.09428737467964e+002dB,1.59707739035433e+002°)
1.77418948089014e-003	(1.09426327060368e+002dB,1.59664787236182e+002°)
1.77827941003890e-003	(1.09423906873182e+002dB,1.59621760358535e+002°)
1.78237876744807e-003	(1.09421476872207e+002dB,1.59578658368487e+002°)
1.78648757485203e-003	(1.09419037023172e+002dB,1.59535481232652e+002°)
1.79060585403527e-003	(1.09416587291730e+002dB,1.59492228918267e+002°)
1.79473362683250e-003	(1.09414127643461e+002dB,1.59448901393198e+002°)
1.79887091512876e-003	(1.09411658043869e+002dB,1.59405498625943e+002°)
1.80301774085954e-003	(1.09409178458383e+002dB,1.59362020585633e+002°)
1.80717412601090e-003	(1.09406688852361e+002dB,1.59318467242042e+002°)
1.81134009261958e-003	(1.09404189191084e+002dB,1.59274838565584e+002°)
1.81551566277311e-003	(1.09401679439762e+002dB,1.59231134527323e+002°)
1.81970085860996e-003	(1.09399159563529e+002dB,1.59187355098971e+002°)
1.82389570231961e-003	(1.09396629527448e+002dB,1.59143500252897e+002°)
1.82810021614272e-003	(1.09394089296509e+002dB,1.59099569962128e+002°)
1.83231442237119e-003	(1.09391538835629e+002dB,1.59055564200355e+002°)
1.83653834334832e-003	(1.09388978109651e+002dB,1.59011482941932e+002°)
1.84077200146893e-003	(1.09386407083349e+002dB,1.58967326161887e+002°)
1.84501541917945e-003	(1.09383825721423e+002dB,1.58923093835921e+002°)
1.84926861897805e-003	(1.09381233988502e+002dB,1.58878785940412e+002°)
1.85353162341479e-003	(1.09378631849143e+002dB,1.58834402452422e+002°)
1.85780445509167e-003	(1.09376019267834e+002dB,1.58789943349699e+002°)
1.86208713666284e-003	(1.09373396208989e+002dB,1.58745408610678e+002°)
1.86637969083464e-003	(1.09370762636954e+002dB,1.58700798214492e+002°)
1.87068214036577e-003	(1.09368118516004e+002dB,1.58656112140970e+002°)
1.87499450806739e-003	(1.09365463810344e+002dB,1.58611350370640e+002°)
1.87931681680324e-003	(1.09362798484109e+002dB,1.58566512884740e+002°)
1.88364908948977e-003	(1.09360122501364e+002dB,1.58521599665215e+002°)
1.88799134909627e-003	(1.09357435826107e+002dB,1.58476610694724e+002°)
1.89234361864495e-003	(1.09354738422265e+002dB,1.58431545956644e+002°)
1.89670592121112e-003	(1.09352030253698e+002dB,1.58386405435071e+002°)
1.90107827992327e-003	(1.09349311284198e+002dB,1.58341189114830e+002°)
1.90546071796322e-003	(1.09346581477486e+002dB,1.58295896981472e+002°)
1.90985325856621e-003	(1.09343840797219e+002dB,1.58250529021283e+002°)
1.91425592502106e-003	(1.09341089206987e+002dB,1.58205085221285e+002°)
1.91866874067026e-003	(1.09338326670309e+002dB,1.58159565569241e+002°)
1.92309172891013e-003	(1.09335553150641e+002dB,1.58113970053660e+002°)
1.92752491319091e-003	(1.09332768611372e+002dB,1.58068298663799e+002°)
1.93196831701689e-003	(1.09329973015824e+002dB,1.58022551389668e+002°)
1.93642196394658e-003	(1.09327166327255e+002dB,1.57976728222035e+002°)
1.94088587759275e-003	(1.09324348508857e+002dB,1.57930829152425e+002°)
1.94536008162263e-003	(1.09321519523756e+002dB,1.57884854173133e+002°)
1.94984459975802e-003	(1.09318679335015e+002dB,1.57838803277218e+002°)
1.95433945577536e-003	(1.09315827905632e+002dB,1.57792676458515e+002°)
1.95884467350596e-003	(1.09312965198542e+002dB,1.57746473711633e+002°)
1.96336027683602e-003	(1.09310091176616e+002dB,1.57700195031963e+002°)
1.96788628970681e-003	(1.09307205802661e+002dB,1.57653840415679e+002°)
1.97242273611482e-003	(1.09304309039424e+002dB,1.57607409859745e+002°)
1.97696964011183e-003	(1.09301400849585e+002dB,1.57560903361916e+002°)
1.98152702580507e-003	(1.09298481195768e+002dB,1.57514320920744e+002°)
1.98609491735734e-003	(1.09295550040530e+002dB,1.57467662535581e+002°)
1.99067333898716e-003	(1.09292607346370e+002dB,1.57420928206582e+002°)
1.99526231496885e-003	(1.09289653075726e+002dB,1.57374117934711e+002°)
1.99986186963271e-003	(1.09286687190975e+002dB,1.57327231721745e+002°)
2.00447202736513e-003	(1.09283709654434e+002dB,1.57280269570275e+002°)
2.00909281260870e-003	(1.09280720428359e+002dB,1.57233231483713e+002°)
2.01372424986236e-003	(1.09277719474951e+002dB,1.57186117466293e+002°)
2.01836636368153e-003	(1.09274706756348e+002dB,1.57138927523080e+002°)
2.02301917867824e-003	(1.09271682234633e+002dB,1.57091661659967e+002°)
2.02768271952125e-003	(1.09268645871828e+002dB,1.57044319883684e+002°)
2.03235701093619e-003	(1.09265597629900e+002dB,1.56996902201801e+002°)
2.03704207770569e-003	(1.09262537470758e+002dB,1.56949408622730e+002°)
2.04173794466950e-003	(1.09259465356255e+002dB,1.56901839155731e+002°)
2.04644463672464e-003	(1.09256381248187e+002dB,1.56854193810915e+002°)
2.05116217882553e-003	(1.09253285108297e+002dB,1.56806472599249e+002°)
2.05589059598411e-003	(1.09250176898268e+002dB,1.56758675532556e+002°)
2.06062991326997e-003	(1.09247056579733e+002dB,1.56710802623525e+002°)
2.06538015581050e-003	(1.09243924114269e+002dB,1.56662853885708e+002°)
2.07014134879101e-003	(1.09240779463399e+002dB,1.56614829333532e+002°)
2.07491351745488e-003	(1.09237622588592e+002dB,1.56566728982295e+002°)
2.07969668710366e-003	(1.09234453451265e+002dB,1.56518552848174e+002°)
2.08449088309725e-003	(1.09231272012784e+002dB,1.56470300948228e+002°)
2.08929613085401e-003	(1.09228078234462e+002dB,1.56421973300403e+002°)
2.09411245585086e-003	(1.09224872077559e+002dB,1.56373569923534e+002°)
2.09893988362349e-003	(1.09221653503287e+002dB,1.56325090837348e+002°)
2.10377843976644e-003	(1.09218422472807e+002dB,1.56276536062473e+002°)
2.10862814993325e-003	(1.09215178947228e+002dB,1.56227905620434e+002°)
2.11348903983661e-003	(1.09211922887612e+002dB,1.56179199533665e+002°)
2.11836113524847e-003	(1.09208654254973e+002dB,1.56130417825506e+002°)
2.12324446200018e-003	(1.09205373010273e+002dB,1.56081560520211e+002°)
2.12813904598268e-003	(1.09202079114431e+002dB,1.56032627642950e+002°)
2.13304491314654e-003	(1.09198772528314e+002dB,1.55983619219813e+002°)
2.13796208950220e-003	(1.09195453212747e+002dB,1.55934535277814e+002°)
2.14289060112002e-003	(1.09192121128505e+002dB,1.55885375844895e+002°)
2.14783047413050e-003	(1.09188776236321e+002dB,1.55836140949930e+002°)
2.15278173472434e-003	(1.09185418496879e+002dB,1.55786830622727e+002°)
2.15774440915263e-003	(1.09182047870823e+002dB,1.55737444894033e+002°)
2.16271852372698e-003	(1.09178664318749e+002dB,1.55687983795539e+002°)
2.16770410481966e-003	(1.09175267801213e+002dB,1.55638447359881e+002°)
2.17270117886371e-003	(1.09171858278726e+002dB,1.55588835620646e+002°)
2.17770977235312e-003	(1.09168435711758e+002dB,1.55539148612373e+002°)
2.18272991184296e-003	(1.09165000060738e+002dB,1.55489386370561e+002°)
2.18776162394951e-003	(1.09161551286051e+002dB,1.55439548931667e+002°)
2.19280493535041e-003	(1.09158089348046e+002dB,1.55389636333116e+002°)
2.19785987278479e-003	(1.09154614207029e+002dB,1.55339648613300e+002°)
2.20292646305342e-003	(1.09151125823268e+002dB,1.55289585811581e+002°)
2.20800473301886e-003	(1.09147624156992e+002dB,1.55239447968299e+002°)
2.21309470960560e-003	(1.09144109168394e+002dB,1.55189235124773e+002°)
2.21819641980018e-003	(1.09140580817626e+002dB,1.55138947323303e+002°)
2.22330989065136e-003	(1.09137039064806e+002dB,1.55088584607178e+002°)
2.22843514927026e-003	(1.09133483870015e+002dB,1.55038147020675e+002°)
2.23357222283049e-003	(1.09129915193300e+002dB,1.54987634609065e+002°)
2.23872113856830e-003	(1.09126332994671e+002dB,1.54937047418616e+002°)
2.24388192378273e-003	(1.09122737234105e+002dB,1.54886385496596e+002°)
2.24905460583574e-003	(1.09119127871545e+002dB,1.54835648891277e+002°)
2.25423921215239e-003	(1.09115504866902e+002dB,1.54784837651940e+002°)
2.25943577022094e-003	(1.09111868180054e+002dB,1.54733951828875e+002°)
2.26464430759302e-003	(1.09108217770848e+002dB,1.54682991473387e+002°)
2.26986485188378e-003	(1.09104553599100e+002dB,1.54631956637799e+002°)
2.27509743077203e-003	(1.09100875624595e+002dB,1.54580847375456e+002°)
2.28034207200038e-003	(1.09097183807089e+002dB,1.54529663740727e+002°)
2.28559880337539e-003	(1.09093478106311e+002dB,1.54478405789008e+002°)
2.29086765276773e-003	(1.09089758481958e+002dB,1.54427073576728e+002°)
2.29614864811232e-003	(1.09086024893703e+002dB,1.54375667161351e+002°)
2.30144181740847e-003	(1.09082277301191e+002dB,1.54324186601376e+002°)
2.30674718872003e-003	(1.09078515664041e+002dB,1.54272631956347e+002°)
2.31206479017555e-003	(1.09074739941846e+002dB,1.54221003286852e+002°)
2.31739464996844e-003	(1.09070950094175e+002dB,1.54169300654525e+002°)
2.32273679635706e-003	(1.09067146080573e+002dB,1.54117524122053e+002°)
