10000	64056.9395
11000	61855.6701
12000	61433.4471
13000	59800.66445
14000	57142.85714
15000	55900.62112
16000	55045.87156
17000	52173.91304
18000	49046.32153
19000	47619.04762
20000	46272.49357
30000	35856.57371
40000	28125
50000	24064.17112
60000	20665.90126
70000	18348.62385
80000	16513.76147
90000	14876.03306
100000	13533.83459
110000	12676.05634
120000	11612.90323
130000	10112.35955
140000	8653.846154
150000	7627.118644
160000	7031.25
170000	6666.666667
180000	6382.978723
190000	6185.56701
200000	6020.06689
210000	5373.134328
220000	5113.636364
230000	5113.636364
240000	5042.016807
250000	4958.677686
260000	4774.535809
270000	4639.175258
280000	4580.152672
290000	4488.778055
300000	4488.778055
400000	3711.340206
500000	3266.787659
600000	2985.074627
700000	2773.497689
800000	2627.737226
900000	2531.64557
1000000	2452.316076
