10000	73770.4918
20000	51575.93123
30000	32142.85714
35000	29900.33223
40000	27777.77778
45000	25787.96562
50000	23715.41502
55000	21582.73381
60000	18595.04132
70000	17208.413
80000	15332.19761
90000	13888.88889
100000	12729.84441
110000	11166.2531
120000	10778.44311
130000	9605.122732
140000	9100.101112
150000	8910.891089
160000	8571.428571
170000	7894.736842
180000	7563.02521
190000	7317.073171
200000	6569.343066
300000	4787.234043
400000	3734.439834
500000	3846.153846
600000	3947.368421
700000	4455.445545
800000	5056.179775
900000	6250
1000000	6338.028169
