Frecuencia;Ratio;Fase
1.00E+03;-20;180
2.00E+03;-20.1;180
3.00E+03;-20;180
1.00E+04;-20;180
1.40E+05;-19.9;173
1.90E+05;-19.8;170
2.50E+05;-19.6;168
3.00E+05;-19.4;160
