Frecuencia;Ratio;Fase
10;3.9;-1
100;3.9;0
1.00E+03;4;-2
1.00E+04;4;-4
1.00E+05;3.9;-11
1.50E+05;4;-19
2.00E+05;4;-22
3.00E+05;3.9;-34
5.00E+05;3.6;-55
5.50E+05;3.1;-69
