Frecuencia;Ratio;Fase
10;-1.3;0
100;-1.3;0
1.00E+03;-1.3;-1
1.00E+04;-1.3;-5
5.00E+04;-1.3;-13
1.00E+05;-1.3;-16
2.00E+05;-1.8;-29
3.00E+05;-2.2;-40
4.00E+05;-2.4;-50
