Frecuencia;Ratio;Fase
1.00E+01;18.9;0
1.00E+02;18.9;0
1.00E+03;18.8;-1
2.00E+03;18.9;-1
5.00E+03;18.8;-4
7.00E+03;18.8;-4
1.00E+04;18.8;-6
1.20E+04;18.8;-9
1.50E+04;18.8;-12
1.70E+04;18.8;-11
2.60E+04;18.6;-17
2.90E+04;18.5;-18
3.40E+04;18.4;-22
5.00E+04;17.9;-28
6.50E+04;17.3;-35
7.50E+04;16.9;-42
8.00E+04;16.7;-45
9.00E+04;16.2;-47
1.00E+05;15.8;-50
1.10E+05;15.3;-55
1.30E+05;14.4;-60
1.80E+05;12.4;-70
2.00E+05;11.5;-75
2.50E+05;9.8;-82
3.00E+05;8.2;-90
4.00E+05;5.8;-98
5.00E+05;3.6;-109
