Freq.	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
1.26182753459046e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.33876714936574e-001dB,-2.16241079426274e+001°)	(-4.26502793477757e+001dB,6.83758920573727e+001°)	(-4.26502793477757e+001dB,-1.11624107942627e+002°)	(-4.26502793477757e+001dB,-1.11624107942627e+002°)
1.26473634747094e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.36598202611552e-001dB,-2.16693419004742e+001°)	(-4.26330008354507e+001dB,6.83306580995258e+001°)	(-4.26330008354507e+001dB,-1.11669341900474e+002°)	(-4.26330008354507e+001dB,-1.11669341900474e+002°)
1.26765186585764e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.39330535947141e-001dB,-2.17146516746942e+001°)	(-4.26157331687863e+001dB,6.82853483253058e+001°)	(-4.26157331687863e+001dB,-1.11714651674694e+002°)	(-4.26157331687863e+001dB,-1.11714651674694e+002°)
1.27057410520833e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.42073751303282e-001dB,-2.17600372788309e+001°)	(-4.25984763841424e+001dB,6.82399627211691e+001°)	(-4.25984763841424e+001dB,-1.11760037278831e+002°)	(-4.25984763841424e+001dB,-1.11760037278831e+002°)
1.27350308101645e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.44827885107085e-001dB,-2.18054987256898e+001°)	(-4.25812305179462e+001dB,6.81945012743102e+001°)	(-4.25812305179462e+001dB,-1.11805498725690e+002°)	(-4.25812305179462e+001dB,-1.11805498725690e+002°)
1.27643880881113e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.47592973852525e-001dB,-2.18510360273346e+001°)	(-4.25639956066916e+001dB,6.81489639726654e+001°)	(-4.25639956066917e+001dB,-1.11851036027335e+002°)	(-4.25639956066917e+001dB,-1.11851036027335e+002°)
1.27938130415731e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.50369054100102e-001dB,-2.18966491950830e+001°)	(-4.25467716869392e+001dB,6.81033508049170e+001°)	(-4.25467716869392e+001dB,-1.11896649195083e+002°)	(-4.25467716869392e+001dB,-1.11896649195083e+002°)
1.28233058265581e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.53156162476503e-001dB,-2.19423382395029e+001°)	(-4.25295587953156e+001dB,6.80576617604971e+001°)	(-4.25295587953156e+001dB,-1.11942338239503e+002°)	(-4.25295587953156e+001dB,-1.11942338239503e+002°)
1.28528665994340e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.55954335674278e-001dB,-2.19881031704087e+001°)	(-4.25123569685134e+001dB,6.80118968295914e+001°)	(-4.25123569685134e+001dB,-1.11988103170409e+002°)	(-4.25123569685134e+001dB,-1.11988103170409e+002°)
1.28824955169292e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.58763610451487e-001dB,-2.20339439968566e+001°)	(-4.24951662432906e+001dB,6.79660560031434e+001°)	(-4.24951662432906e+001dB,-1.12033943996857e+002°)	(-4.24951662432906e+001dB,-1.12033943996857e+002°)
1.29121927361332e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.61584023631358e-001dB,-2.20798607271416e+001°)	(-4.24779866564705e+001dB,6.79201392728584e+001°)	(-4.24779866564705e+001dB,-1.12079860727142e+002°)	(-4.24779866564705e+001dB,-1.12079860727142e+002°)
1.29419584144977e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.64415612101936e-001dB,-2.21258533687929e+001°)	(-4.24608182449411e+001dB,6.78741466312071e+001°)	(-4.24608182449411e+001dB,-1.12125853368793e+002°)	(-4.24608182449411e+001dB,-1.12125853368793e+002°)
1.29717927098374e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.67258412815732e-001dB,-2.21719219285702e+001°)	(-4.24436610456549e+001dB,6.78280780714298e+001°)	(-4.24436610456549e+001dB,-1.12171921928570e+002°)	(-4.24436610456549e+001dB,-1.12171921928570e+002°)
1.30016957803308e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.70112462789355e-001dB,-2.22180664124597e+001°)	(-4.24265150956285e+001dB,6.77819335875403e+001°)	(-4.24265150956285e+001dB,-1.12218066412460e+002°)	(-4.24265150956285e+001dB,-1.12218066412460e+002°)
1.30316677845208e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.72977799103154e-001dB,-2.22642868256702e+001°)	(-4.24093804319423e+001dB,6.77357131743298e+001°)	(-4.24093804319423e+001dB,-1.12264286825670e+002°)	(-4.24093804319423e+001dB,-1.12264286825670e+002°)
1.30617088813163e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.75854458900857e-001dB,-2.23105831726290e+001°)	(-4.23922570917400e+001dB,6.76894168273710e+001°)	(-4.23922570917400e+001dB,-1.12310583172629e+002°)	(-4.23922570917400e+001dB,-1.12310583172629e+002°)
1.30918192299919e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.78742479389179e-001dB,-2.23569554569784e+001°)	(-4.23751451122283e+001dB,6.76430445430216e+001°)	(-4.23751451122283e+001dB,-1.12356955456978e+002°)	(-4.23751451122283e+001dB,-1.12356955456978e+002°)
1.31219989901899e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.81641897837465e-001dB,-2.24034036815711e+001°)	(-4.23580445306766e+001dB,6.75965963184289e+001°)	(-4.23580445306766e+001dB,-1.12403403681571e+002°)	(-4.23580445306766e+001dB,-1.12403403681571e+002°)
1.31522483219202e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.84552751577299e-001dB,-2.24499278484668e+001°)	(-4.23409553844164e+001dB,6.75500721515332e+001°)	(-4.23409553844164e+001dB,-1.12449927848467e+002°)	(-4.23409553844164e+001dB,-1.12449927848467e+002°)
1.31825673855619e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.87475078002119e-001dB,-2.24965279589279e+001°)	(-4.23238777108413e+001dB,6.75034720410721e+001°)	(-4.23238777108413e+001dB,-1.12496527958928e+002°)	(-4.23238777108413e+001dB,-1.12496527958928e+002°)
1.32129563418636e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.90408914566829e-001dB,-2.25432040134161e+001°)	(-4.23068115474060e+001dB,6.74567959865839e+001°)	(-4.23068115474060e+001dB,-1.12543204013416e+002°)	(-4.23068115474060e+001dB,-1.12543204013416e+002°)
1.32434153519445e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.93354298787395e-001dB,-2.25899560115877e+001°)	(-4.22897569316265e+001dB,6.74100439884123e+001°)	(-4.22897569316265e+001dB,-1.12589956011588e+002°)	(-4.22897569316265e+001dB,-1.12589956011588e+002°)
1.32739445772952e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.96311268240460e-001dB,-2.26367839522902e+001°)	(-4.22727139010796e+001dB,6.73632160477098e+001°)	(-4.22727139010796e+001dB,-1.12636783952290e+002°)	(-4.22727139010796e+001dB,-1.12636783952290e+002°)
1.33045441797787e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.99279860562934e-001dB,-2.26836878335583e+001°)	(-4.22556824934021e+001dB,6.73163121664416e+001°)	(-4.22556824934021e+001dB,-1.12683687833558e+002°)	(-4.22556824934021e+001dB,-1.12683687833558e+002°)
1.33352143216310e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.02260113451581e-001dB,-2.27306676526099e+001°)	(-4.22386627462907e+001dB,6.72693323473901e+001°)	(-4.22386627462907e+001dB,-1.12730667652610e+002°)	(-4.22386627462907e+001dB,-1.12730667652610e+002°)
1.33659551654622e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.05252064662604e-001dB,-2.27777234058421e+001°)	(-4.22216546975017e+001dB,6.72222765941579e+001°)	(-4.22216546975017e+001dB,-1.12777723405842e+002°)	(-4.22216546975017e+001dB,-1.12777723405842e+002°)
1.33967668742571e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.08255752011240e-001dB,-2.28248550888273e+001°)	(-4.22046583848504e+001dB,6.71751449111727e+001°)	(-4.22046583848504e+001dB,-1.12824855088827e+002°)	(-4.22046583848504e+001dB,-1.12824855088827e+002°)
1.34276496113764e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.11271213371326e-001dB,-2.28720626963096e+001°)	(-4.21876738462105e+001dB,6.71279373036904e+001°)	(-4.21876738462105e+001dB,-1.12872062696310e+002°)	(-4.21876738462105e+001dB,-1.12872062696310e+002°)
1.34586035405573e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.14298486674879e-001dB,-2.29193462222004e+001°)	(-4.21707011195140e+001dB,6.70806537777996e+001°)	(-4.21707011195140e+001dB,-1.12919346222200e+002°)	(-4.21707011195140e+001dB,-1.12919346222200e+002°)
1.34896288259143e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.17337609911656e-001dB,-2.29667056595748e+001°)	(-4.21537402427508e+001dB,6.70332943404252e+001°)	(-4.21537402427508e+001dB,-1.12966705659575e+002°)	(-4.21537402427508e+001dB,-1.12966705659575e+002°)
1.35207256319405e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.20388621128730e-001dB,-2.30141410006676e+001°)	(-4.21367912539679e+001dB,6.69858589993325e+001°)	(-4.21367912539679e+001dB,-1.13014141000668e+002°)	(-4.21367912539679e+001dB,-1.13014141000668e+002°)
